
"","ClSec","10:00-10:30","10:45-11:15","11:30-12:00","12:15-12:45","","ClSec","10:00-10:30","10:45-11:15","11:30-12:00","12:15-12:45",""
"","","","","","","","","","","","",""
"Mon","VII-A","PHYSICS","SOCIAL SCI","HINDI","3RD LANG","","VI-A","HINDI","SCIENCE","MATH","SOCIAL SCI","Mon"
"VII-C","SOCIAL SCI","HINDI","BIO-CHEM","3RD LANG","","VI-C","SCIENCE","HINDI","SOCIAL SCI","MATH"
"VII-D","SOCIAL SCI","MATH","3RD LANG","HINDI","","VI-D","ENGLISH","SCIENCE","MATH","SOCIAL SCI"
"VII-E","BIO-CHEM","MATH","PHYSICS","SOCIAL SCI","","VI-E","SOCIAL SCI","HINDI","MATH","SCIENCE"
"VII-F","3RD LANG","HINDI","SOCIAL SCI","ENGLISH","","VI-F","HINDI","SOCIAL SCI","ENGLISH","MATH"
"VII-G","HINDI","3RD LANG","MATH","SOCIAL SCI","","VI-G","MATH","SOCIAL SCI","HINDI","SCIENCE"
"VII-H","SOCIAL SCI","ENGLISH","BIO-CHEM","3RD LANG","","VI-H","SOCIAL SCI","ENGLISH","HINDI","MATH"
"VII-I","3RD LANG","PHYSICS","MATH","SOCIAL SCI","","VI-I","SCIENCE","SOCIAL SCI","MATH","ENGLISH"
"VII-J","SOCIAL SCI","3RD LANG","ENGLISH","MATH","","VI-J","SCIENCE","ENGLISH","SOCIAL SCI","MATH"
"VII-K","ENGLISH","MATH","SOCIAL SCI","3RD LANG","","VI-K","HINDI","SCIENCE","MATH","SOCIAL SCI"
"","ClSec","9:00-9:40","10:05-10:45","11:05-11:45","12:05-12:45","","ClSec","9:00-9:40","10:05-10:45","11:05-11:45","12:05-12:45",""
"Fri","VII-A","HINDI","3RD LANG","SOCIAL SCI","MATH","","VI-A","SOCIAL SCI","MATH","3RD LANG","ENGLISH","Fri"
"VII-B","MATH","ENGLISH","SOCIAL SCI","BIO-CHEM","","VI-B","MATH","SOCIAL SCI","3RD LANG","ENGLISH"
"VII-C","ENGLISH","SOCIAL SCI","BIO-CHEM","MATH","","VI-C","SCIENCE","MATH","SOCIAL SCI","3RD LANG"
"VII-D","MATH","HINDI","ENGLISH","SOCIAL SCI","","VI-D","MATH","SOCIAL SCI","ENGLISH","HINDI"
"VII-E","3RD LANG","HINDI","MATH","SOCIAL SCI","","VI-E","MATH","HINDI","SOCIAL SCI","ENGLISH"
"VII-F","HINDI","3RD LANG","MATH","SOCIAL SCI","","VI-F","SCIENCE","SOCIAL SCI","HINDI","MATH"
"VII-G","HINDI","MATH","SOCIAL SCI","ENGLISH","","VI-G","SOCIAL SCI","MATH","ENGLISH","SCIENCE"
"VII-H","MATH","SOCIAL SCI","BIO-CHEM","HINDI","","VI-H","SOCIAL SCI","MATH","3RD LANG","SCIENCE"
"VII-I","BIO-CHEM","SOCIAL SCI","ENGLISH","HINDI","","VI-I","ENGLISH","MATH","HINDI","SOCIAL SCI"
"VII-J","SOCIAL SCI","ENGLISH","PHYSICS","BIO-CHEM","","VI-J","3RD LANG","SCIENCE","HINDI","SOCIAL SCI"
"VII-K","SOCIAL SCI","3RD LANG","MATH","HINDI","","VI-K","SOCIAL SCI","ENGLISH","SCIENCE","MATH"
"","","59","59","59","59","","","59","59","59","59",""
