
"","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:00-1:35","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Monday","XII-A","-","S2","CHEMISTRY","BIOLOGY","PHYSICS","-","","XI-A","-","-","-","-","-","-","-","Monday","X-A","-","ENGLISH","BIOLOGY","MATH","PHYSICS","Monday"
"XII-E","-","CHEMISTRY","PHYSICS","MATH","COMP SC","-","","XI-E","-","COMP SC","PHYSICS","CHEMISTRY","MATH","-","-","X-E","-","MATH","PHYSICS","CIVIC","2ND LANG"
"XII-F","-","COMP SC","PHYSICS","ENGLISH","CHEMISTRY","-","","XI-F","-","ENGLISH","MATH","COMP SC","PHYSICS","-","-","X-F","-","2ND LANG","HISTORY","CIVIC","MATH"
"XII-G","-","MATH","PHYSICS","COMP SC","ENGLISH","-","","XI-G","-","CHEMISTRY","PHYSICS","ENGLISH","COMP SC","-","-","X-G","-","ENGLISH","MATH","PHYSICS","2ND LANG"
"XII-H","-","PHYSICS","MATH","CHEMISTRY","ENGLISH","-","","XI-H","-","PHYSICS","COMP SC","ENGLISH","MATH","-","-","X-H","-","GEO","BIOLOGY","ENGLISH","MATH"
"XII-I","-","MATH","ENGLISH","COMP SC","PHYSICS","-","","XI-I","-","PHYSICS","CHEMISTRY","COMP SC","MATH","-","-","X-I","-","ENGLISH","CHEMISTRY","2ND LANG","BIOLOGY"
"XII-J","-","ENGLISH","MATH","COMP SC","PHYSICS","-","","XI-J","-","MATH","ENGLISH","COMP SC","PHYSICS","-","-","X-J","-","2ND LANG","MATH","CIVIC","CHEMISTRY"
"XII-K","-","S5","S3","S4","ENGLISH","-","","XI-K","-","MATH","COMP SC","CHEMISTRY/    ECO","ENGLISH","-","-","X-K","-","MATH","ENGLISH","CHEMISTRY","2ND LANG"
"XII-L","-","COMP SC","CHEMISTRY","PHYSICS","MATH","-","","XI-L","-","ENGLISH","ECO/                  BIO TECH","CHEMISTRY","MATH","-","-","X-L","-","2ND LANG","MATH","PHYSICS","BIOLOGY"
"XII-M","-","ENGLISH","ECO","CHEMISTRY","MATH","-","","XI-M","-","PHYSICS","ENGLISH","CHEMISTRY","MATH","-","-","X-M","-","ECO","ENGLISH","MATH","CIVIC"
"XII-N","-","ENGLISH","ECO","CHEMISTRY","MATH","-","","XI-N","-","ACCOUNTS","P2","ENGLISH","ECO","-","-","X-N","-","CIVIC","MATH","CHEMISTRY","HISTORY"
"XII-O","-","MATH","PHYSICS","ENGLISH","PE","-","","XI-O","-","ACCOUNTS","MATH","ENGLISH","B.ST","-","-","X-O","-","PHYSICS","ECO","GEO","ENGLISH"
"XII-P","-","B.ST","ENGLISH","ACCOUNTS","ECO","-","","XI-P","-","ENGLISH","MATH","ECO","B.ST","-","-","","","","","",""
"XII-Q","-","ACCOUNTS","B.ST","ENGLISH","ECO","-","","XI-Q","-","ENGLISH","B.ST","MATH/              COMP SC","ACCOUNTS","-","-","","","","","",""
"XII-R","-","ACCOUNTS","ENGLISH","ECO","B.ST","-","","XI-R","-","B.ST","MATH","ENGLISH","ACCOUNTS","-","-","","","","","",""
"XII-S","-","ACCOUNTS","ECO","B.ST","ENGLISH","-","","XI-S","-","P5","P2","P4","ENGLISH","-","-","","","","","",""
"XII-T","-","B.ST","ENGLISH","ECO","ACCOUNTS","-","","XI-T","-","P5","P2","P4","ENGLISH","-","-","","","","","",""
"XII-U","-","S5","S3","S4","ENGLISH","-","","XI-U","-","P5","P2","P4","ENGLISH","-","-","","","","","",""
"XII-V","-","S5","S3","S4","ENGLISH","-","","XI-V","-","P5","P2","P4","ENGLISH","-","-","","","","","",""
"XII-W","-","S5","S3","S4","ENGLISH","-","","XI-W","-","P5","P2","P4","ENGLISH","-","-","","","","","",""
"XII-X","-","S5","S3","S4","ENGLISH","-","","","","","","","","","","","","","","",""
"","ClSec","8:00-8:45","9:00-9:45","10:05-10:50","11:05-11:50","12:05-12:50","2:00-2:45","","ClSec","8:00-8:45","9:00-9:45","10:05-10:50","11:05-11:50","12:05-12:50","1-1:45","","","ClSec","8:00-8:45","9:00-9:45","10:05-10:50","11:05-11:50","12:05-12:50",""
"Wednesday","XII-A","CHEMISTRY","S2","ENGLISH","BIOLOGY","PHYSICS","-","","XI-A","BIOLOGY","ENGLISH","P2","PHYSICS","CHEMISTRY","-","-","Wednesday","X-A","CHEMISTRY","PHYSICS","ENGLISH","ECO","2ND LANG","Wednesday"
"XII-B","CHEMISTRY","S2","PHYSICS","ENGLISH","BIOLOGY","-","","XI-B","CHEMISTRY","BIOLOGY","P2","ENGLISH","PHYSICS","-","-","X-B","PHYSICS","CHEMISTRY","ENGLISH","CIVIC","BIOLOGY"
"XII-C","PHYSICS","S2","ENGLISH","CHEMISTRY","BIOLOGY","-","","XI-C","PHYSICS","BIOLOGY","P2","ENGLISH","CHEMISTRY","-","-","X-C","2ND LANG","GEO","MATH","ENGLISH","PHYSICS"
"XII-D","BIOLOGY","S2","ENGLISH","PHYSICS","CHEMISTRY","-","","XI-D","BIOLOGY","ENGLISH","CHEMISTRY","MATH","PHYSICS","-","-","X-D","CHEMISTRY","2ND LANG","CIVIC","ENGLISH","MATH"
"XII-E","MATH","ENGLISH","CHEMISTRY","COMP SC","PHYSICS","-","","XI-E","CHEMISTRY","COMP SC","ENGLISH","PHYSICS","MATH","-","-","X-E","ENGLISH","2ND LANG","PHYSICS","MATH","CIVIC"
"XII-F","COMP SC","CHEMISTRY","PHYSICS","MATH","ENGLISH","-","","XI-F","CHEMISTRY","COMP SC","MATH","PHYSICS","ENGLISH","-","-","X-F","2ND LANG","PHYSICS","ECO","ENGLISH","MATH"
